priority_rank,priority_tier,priority_score,priority_reasons,landing_page_slug,normalized_identity_key,display_name,scientific_name,principle_name,principle_expression,core_lesson,biological_basis,short_motto,best_use_cases,draft_source,draft_quality_flag,editorial_note,suggested_import_source
1,P0,102,flagship; mega-fauna:cat; symbolism:cat; symbolism-intent:4; curated-draft; common-species; core-taxa,cat,cat,Cat,Felis catus,Threshold Independence,Stay soft. Keep your claws.,Independence works best when comfort and readiness exist together.,"Cats combine retractable claws, night-adapted eyes, flexible bodies, stalking behavior, grooming rituals, and home-threshold living to move between affection, solitude, play, and predation.",Stay soft. Keep your claws.,"[""Independence"",""Boundaries"",""Sensitivity"",""Self-Trust""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
2,P0,102,flagship; mega-fauna:dolphin; symbolism:dolphin; symbolism-intent:4; curated-draft; common-species; core-taxa,dolphin,dolphin,Dolphin,Delphinidae,Echo Social Intelligence,Find your people. Share the signal.,Clear communication becomes power when the environment is noisy.,"Dolphins combine echolocation, whistles, social learning, and coordinated movement to navigate murky water, hunt together, and maintain group bonds across distance.",Find your pod. Share the signal.,"[""Communication"",""Leadership"",""Collaboration"",""Emotional Intelligence""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
3,P0,102,flagship; mega-fauna:fox; symbolism:fox; symbolism-intent:4; curated-draft; common-species; core-taxa,fox,fox,Fox,Vulpes and related canids,Clever Adaptation,Change route before the trap closes.,Survival favors the one who reads the edge and adjusts early.,"Foxes use quiet movement, sharp hearing, opportunistic diet, denning behavior, and comfort at forest, field, and urban edges to survive through strategy rather than force.",Change route early.,"[""Strategy"",""Adaptability"",""Cunning"",""Uncertain Environments""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
4,P0,102,flagship; mega-fauna:raven; symbolism:raven; symbolism-intent:4; curated-draft; common-species; core-taxa,raven,raven,Raven,Corvus corax,Pattern Messenger,Remember the pattern. Speak from the shadow.,"Intelligence becomes power when memory, timing, and communication meet.","Ravens use problem-solving, social memory, vocal mimicry, caching, carrion tracking, and bold black presence to operate as intelligent scavengers and symbolic messengers.",Speak from the shadow.,"[""Intelligence"",""Mystery"",""Memory"",""Communication""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
5,P0,102,flagship; mega-fauna:snake; symbolism:snake; symbolism-intent:4; curated-draft; common-species; core-taxa,snake,snake,Snake,Serpentes,Coiled Transformation,Shed the old skin. Keep the life force.,Efficient power often comes from removing what is unnecessary and perfecting what remains.,"Snakes use limbless movement, forked-tongue chemosensing, flexible skulls, shedding, coiling, venom or constriction, and ground contact to symbolize transformation, instinct, and hidden force.",Shed the old skin.,"[""Transformation"",""Instinct"",""Healing"",""Hidden Power""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
6,P0,99,flagship; mega-fauna:octopus; symbolism:octopus; symbolism-intent:4; curated-draft; common-species,octopus,octopus,Octopus,Octopoda,Distributed Nervous Intelligence,Think with the whole body.,Flexible awareness beats rigid control when conditions change fast.,"Octopuses use a highly distributed nervous system, flexible arms, camouflage, problem-solving, and escape behavior to respond quickly without relying on one rigid command center.",Think with the whole body.,"[""Creativity"",""Adaptability"",""Nervous System Awareness"",""Uncertain Environments""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
7,P0,98,flagship; mega-fauna:elephant; symbolism:elephant; symbolism-intent:4; curated-draft; core-taxa,elephant,elephant,Elephant,Elephantidae,Living Archive,Remember what matters. Move with wisdom.,Memory becomes wisdom when it protects the future.,"Elephants remember migration routes, water sources, social bonds, threats, and lost companions across long periods, turning experience into survival guidance for the herd.",Remember what matters.,"[""Long-Term Thinking"",""Family"",""Strategy"",""Emotional Intelligence""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
8,P0,98,flagship; mega-fauna:orangutan; symbolism:orangutan; symbolism-intent:4; curated-draft; core-taxa,orangutan,orangutan,Orangutan,Pongo spp.,Memory,Learn slowly. Retain deeply.,Slow learning can outperform fast reacting in complex environments.,"Orangutans rely on long learning windows, strong spatial memory, and deliberate movement to navigate changing canopy routes.",Learn slowly. Retain deeply.,"[""Strategy"",""Discipline"",""Long-Term Thinking""]",manual,curated,Curated manual profile from species-behavioral-principles.ts; review before catalog import.,manual_website_gap_backfill_v1
9,P0,97,flagship; mega-fauna:chameleon; symbolism:chameleon; symbolism-intent:4; systems-intelligence; common-species; core-taxa,chameleon,chameleon,Chameleon,Chamaeleonidae,Directional Surveillance,Target what matters most.,Do not confuse stillness with inactivity. Good surveillance buys better timing than constant motion.,"Independently mobile eyes, a ballistic tongue, and branch-gripping feet let a chameleon scan multiple angles before converting visual lock into a precise strike. Chameleons operate as small-scale insect regulators in arboreal environments. They show how patient sensory coverage can stabilize a niche without high-speed roaming or constant conflict.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
10,P0,97,flagship; mega-fauna:crocodile; symbolism:crocodile; symbolism-intent:4; systems-intelligence; common-species; core-taxa,crocodile,crocodile,Crocodile,Crocodylidae,Estuary Pressure Valve,Preserve energy for decisive moves.,You do not need to dominate every square meter. Control the bottlenecks and the rest of the map starts behaving differently.,"Pressure-sensitive receptors around the jaws, eyes and nostrils mounted high on the skull, and a tail built for explosive propulsion make crocodiles effective ambush hardware at the land-water edge. Crocodiles control chokepoints where rivers, wetlands, and shorelines concentrate traffic. They regulate prey behavior, move nutrients through kills and carcasses, and add caution to landscapes that would otherwise become too predictable.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
